abstract,pred,true
"In this paper, a novel unsupervised speech enhancement algorithm is proposed assuming that both speech spectrogram and its temporal gradient are sparse. This assumption is reliable due to quasi-harmonic nature of speech signals. In the proposed method, speech enhancement is performed by minimizing an appropriate objective function composed of a data fidelity term and sparsity imposing regularization terms. Alternating direction method of multipliers (ADMM) is adapted to solve the proposed model, and an efficient iterative algorithm is developed for speech enhancement. Extensive experiments demonstrate that the proposed method outperforms other competing methods in terms of different performance evaluation metrics.",0,1
"The article examines verbs of silence in Ancient Greek and Latin: σιγᾶν, σιωπᾶν, silēre. Following an examination of the usages, probable origins and semantic nuances of each of these verbs, as well as of their cognates and derivatives, it is shown that Gk. σιγᾶν and Lat. silēre probably derive from the PIE hushing interjection *si, whereas σιωπᾶν/σιωπή must result from a contamination of σιγᾶν with a rarer, but well attested, σωπάω/σωπή.",0,1
"The British neurologist Henry Head (1861–1940) in 1926 published a work entitled Aphasia and Kindred Disorders, which has been described as one of the most significant contributions to the field. The paper discusses the background to the appearance to this work. It focuses on Head's claim to have made a startling new departure in the study of aphasia. He is shown to have been among the first workers in the field to have been aware of the bearing of contemporary developments in linguistics on the study of language disorders. Head also insisted on the need to study the condition of aphasic patients in a much more intensive and extensive way than had hitherto been attempted. To this end he developed an elaborate battery of tests designed to assess various aspects of symbolic performance. He was, however, only able to make full use of these techniques due to the fortuitous availability in the aftermath of the First World War of a class of patient able and willing to participate fully in these investigations. Despite Head's claims to have revolutionized aphasia studies, he felt constrained to try to localize the syndromes he had identified in a traditional fashion.",0,1
Introduction to Syntactic Representation Scope and the VP Shell Hypothesis Superiority Effects and VP Structure Bare NP Adverbials and VP Structure Psych-Verbs in a VP Shell Conclusion,0,1
"Despite increasing reports of pharmaceuticals in surface waters, aquatic hazard information remains limited for many contaminants, particularly for sublethal, chronic responses plausibly linked to molecular initiation events that are largely conserved across vertebrates. Here, we critically examined available refereed information on the occurrence of 67 antipsychotics in wastewater effluent and surface waters. Because the majority of sewage remains untreated around the world, we also examined occurrence in sewage influents. When sufficient information was available, we developed probabilistic environmental exposure distributions (EEDs) for each compound in each matrix by geographic region. We then performed probabilistic environmental hazard assessments (PEHAs) using therapeutic hazard values (THVs) of each compound, due to limited sublethal aquatic toxicology information for this class of pharmaceuticals. From these PEHAs, we determined predicted exceedances of the respective THVs for each chemical among matrices and regions, noting that THV values of antipsychotic contaminants are typically lower than other classes of human pharmaceuticals. Diverse exceedances were observed, and these aquatic hazards varied by compound, matrix and geographic region. In wastewater effluent discharges and surface waters, sulpiride was the most detected antipsychotic; however, percent exceedances of the THV were minimal (0.6%) for this medication. In contrast, we observed elevated aquatic hazards for chlorpromazine (30.5%), aripiprazole (37.5%), and perphenazine (68.7%) in effluent discharges, and for chlorprothixene (35.4%) and flupentixol (98.8%) in surface waters. Elevated aquatic hazards for relatively understudied antipsychotics were identified, which highlight important data gaps for future environmental chemistry and toxicology research.",0,1
"La phrase averbale est une phrase qui comporte un predicat averbal, c'est-a-dire, nominal (substantival, adjectival), pronominal, adverbial ou prepositionnel, passionnant, ce livre! heureux les pauvres! dans notre premiere partie, nous avons evoque les problemes theoriques que peut poser la phrase averbale. Nous avons essaye de comprendre ce qui constitue l'assertion averbale et comment celle-ci se constitue. Nous avons mis en evidence deux types fondamentaux de phrases averbales. Dans l'un, le sujet et le predicat averbal sont relies par la modalite : le sujet est alors explicite ou implicite. Dans l'autre, le predicat averbal est pose par la modalite : le sujet est inexistant. Nous nous sommes demande s'il n'y avait pas un continuum entre ces deux types de phrases. Dans la phrase averbale, les modalites (assertion, exclamation, interrogation, injonction) peuvent se decliner en toutes sortes d'actes de langage. La phrase averbale peut etre concernee par les categories de la personne, du temps, de l'aspect et de la voix, meme si le predicat averbal reste peu touche. Selon nous, la phrase averbale ne doit pas s'analyser systematiquement par rapport a la phrase avec etre : elle appartient a un ensemble plus vaste, celui des phrases statives. Dans la deuxieme partie, nous avons propose une etude detaillee des phrases averbales a deux termes, tout d'abord des phrases nominales (pronominales) attributives et ensuite des phrases prepositionnelles et adverbiales locatives. Dans la troisieme partie, nous avons analyse les phrases averbales a un terme, en commencant par les phrases nominales (pronominales), prepositionnelles, adverbiales a sujet implicite et en continuant avec les phrases substantivales (pronominales) sans sujet. Dans ces deux parties, nous avons envisage les caracteristiques de ces phrases averbales (constitution de la phrase averbale, analyse du sujet, du predicat et rapport entre les phrases verbales statives et les phrases averbales).",0,1
1. Introduction 2. An Overview of Old English Syntax 3. Case Marking and the Experiencer Verbs in Old English 4. The Syntax of the Experiencer Verbs in Old English 5. The Loss of Case Marking 6. The Development of the Experiencer Verbs 7. Explaining the Demise of the Preposed Dative Experiencer 8. Change in Passives: Single Objects 9. Changes in Passives: Verbs with More than One Object-like Argument 10. Conclusion Appendices,0,1
"Abstract Post-colonial interactions between indigenous groups in Amazonia have intrigued observers since contact was established between non-indigenous Brazilians and first-nation peoples. Exchanges between different ethnic groups were largely referred to en passant or in an anecdotal manner. Yet an expanding literature dealing with the dynamics of interethnic contact can now help assess the historical precedents and sociolinguistic features between different indigenous communities. In this article we explore the contact history of the Awá-Guajá of eastern Amazonia, and the sociolinguistic variation that developed between their different communities and neighboring indigenous groups. The Awá-Guajá came into permanent contact with Brazilian mainstream society in 1973 and were settled into four communities by Brazil’s Indian Service. They are Tupí-Guaraní speakers and can converse with other members of this language family, namely, the Ka’apor and Tenetehara. This interaction reveals linguistic affinities and a distinct historical engagement between these groups. Loan words and dialects developed from these relationships, and each group was also influenced by the enveloping machinations of mainstream society. The Awá-Guajá defer to the Ka’apor and Tenetehara yet keep a guarded distance from them, exposing an interesting dynamic that remits us to power relations, historical ecology, and the looming influence of the Brazilian state.",0,1
"Comprehension substantially benefits from attending to, thinking about, and mentally representing the sources of any presented information. Such processes require mental effort and unfortunately people do not always engage in such activities. The current article presents a nascent, evolving model of discourse comprehension that formalizes mechanisms to predict and explain people’s strategic use of source information. The discrepancy-induced source comprehension (D-ISC) model and its theoretical assumptions describe the moment-by-moment cognitive processes in which readers engage when they interact with potentially contradictory or controversial messages presented by different information sources. The utility of the model is supported by evidence from a growing research base examining single- and multiple-text comprehension experiences. The D-ISC model is also useful for suggesting future directions that could help build more-nuanced understandings of the ways that diverse readers engage in sourcing activities within everyday discourse contexts.",0,1
"Rancheros are presented as a distinct subgroup of Mexican campesinos ‘peasants’ who enact a liberal individualist ideology that centrally values private property, especially land, and hard work as the legitimate route to el progreso ‘progress’. Both male and female rancheros are tough and independent “ranch” people who construct their identities in contrast to indigenas ‘Indians’ on the one hand (whom rancheros view as communally-oriented), and catrines ‘city people’ (whom rancheros see as fancily-dressed, and acting, “dandies”) on the other. A history of frontier isolation and mobility in la sociedad ranchera ‘ranchero society’ facilitated the development of both autonomy and strong ties of reciprocity for mutual support in hostile conditions, as well as common ways of living, dressing, and speaking. This valuing of both autonomy and affiliation undermines the often-invoked dichotomy between “Mexicans” and “North Americans” as being communal, or group-oriented, and individualistic, or self-oriented, respectively. Rather than predominantly one or the other, rancheros value both autonomy and affiliation. This historically constructed identity is enacted in a particular way of speaking, franqueza ‘frankness’, direct, straightforward, candid language that goes directly to a point. Informal verbal performances by members of these families within their homes, both in Chicago and Mexico, are analyzed for their construction of ranchero identity through franqueza .",0,1
