abstract,pred,true
,1,0
,1,0
,1,0
,1,0
,1,0
,1,0
"In 1968, I spent the months of May and June collating CT XLII, a volume consisting almost entirely of Sumerian literary tablets copied by H. H. Figulla.l On the whole, I found the copies outstanding for accuracy and trustworthiness, and that, in spite of the fact that the copyist is not a specialist in the field of Sumerian literature. There are, to be sure, as the following collations indicate, a considerable number of miscopies; but these are nearly always in the case of tablets where the writing is poorly preserved, or where the signs are so compactly written, that they are extremely difficult to read in many instances it would have been impossible for me to make the corrections, had I not had the benefit of duplicating material unavailable to the copyist. It is not out of place to repeat here a statement in my review of the volume in JCS XVIII: 35, that Figulla has made available to the scholarly world a highly significant group of Sumerian tablets which have been lving in the cupboards of the museum, unknown, unidentified, and unutilized, a feat which will earn him the deep gratitude of cuneiformists everywhere. No. 1. There is no ruled line dividing the tablet into columns either on the obverse or the reverse, and there should not be any in the copy. In obv. 1, the sign following hW u -1 u h hw a z u is poorly preserved, but it is probably A not u.2 In obv. 8, the fourth sign from the end is L U L. In rev. 19, the sign following M E (about the middle of the line) is probably E N (not NU). In rev. 45, between N U and T I L is probably A L (not A S and R I). The line at the very bottom of plate 3 was accidentally omitted by the scribe who therefore drew a ruled",1,0
"Sarama Babiat Review Of The Dance Form. The purpose of this research is to discuss about the origin of the story, the content and form of the dance Sarama Babiat. To discuss this research uses theories that deal with topics such as the theory of forms, dance theory, theories of choreography, dance Babiat Sarama sense, understanding its origins and understanding acoustics. The research carried out for 2 months that is December 2013 until February 2014. The location of the research done at the Art Group Kulabu Pakantan Mountain Tapsel Madina-Medan. The methods used to discuss Babiat Sarama dance forms using qualitative descriptive method. The population in this research as well as a sample of interviewees, dancers, cultural figures and artists community know about the shape of the dance Sarama Babiat. Data collection techniques include the study of librarianship, observation, interview and documentation. Based on the research conducted, parsable forms of dance that consisted of 3 Babiat Sarama scene that should buffet, namely marsantabi, manombak and bala, manulak. Movement in the dance movements are Babiat Sarama spontaneity or improvisation, but bound by the 3 scene. Babiat Sarama dance in every scene has different properties. The nature of marsantabi is polite. The nature of the sacred is bala manulak whereas the nature of manombak is angry. Marsantabi scene wouldn't have a background member of respect to their ancestors. The scene has a background bala manulak Keywords: Dance, Dance Forms Babiat Sarama",1,0
Abstract The pragmatic marker,1,0
,1,0
,1,0
,1,0
"L'A. developpe quelques arguments qui tendent a prouver qu'il existait deux redactions independantes de la traduction d'Albucasis en ancien francais, celle du Manuscrit de la Bibliotheque Nationale et celle du manuscrit de Metz. A partir de l'analyse d'elements lexicaux, et sous l'hypothese que le manuscrit de la Bibliotheque Nationale est le plus ancien texte connu de la traduction en francais du traite d'Albucasis, l'A. veut montrer que la contribution de ce traite au lexique francais est considerable",1,0
,1,0
,1,0
,1,0
,1,0
,1,0
,1,0
,1,0
,1,0
"Lorsque des problèmes se posent dans l’interprétation des testaments, les juges anglais sont tenus de suivre la ‘règle littérale’, et de retrouver l’intention du testateur uniquement par l’analyse des mots utilisés. Cependant, ils sont souvent amenés à tenir compte du contexte, y compris pour déterminer la référence des noms propres ou des descriptions définies. L’interprétation juridique des testaments authentiques fait ainsi apparaitre des problèmes sémantiques intéressants. Même si les juges doivent respecter des contraintes spécifiques, leur raisonnement semble cohérent et explicite, et ne doit pas être ignoré. Leurs conclusions semblent corroborer dans une certaine mesure la théorie sémantique contextualiste.",1,0
