abstract,pred,true
"['Hittite grammar has been of great interest to comparative linguistics ever since it was deciphered by Bedřich Hrozný in 1915 and published in 1917 as Die Sprache der Hethiter (SH). Here we find the first description of the Hittite nominal system. In this article, I focus on the spatial cases as described by Hrozný and as they are understood today. In Part 1, I present the background of Hrozný’s research. In part 2, spatial cases and their internal structure are outlined. In Part 3, I discuss the Hittite spatial cases as described in SH and as understood by contemporary researchers, with a focus on the basis for possible misunderstandings. Part 4 provides an overview of later research regarding the nominal system, and especially the spatial cases. The conclusion summarizes the comparison of Die Sprache der Hethiter and contemporary research.']",1,0
['An abstract is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.'],1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
['Dr. I. M. Nick enjoys a well-deserved reputation for her meticulous scholarship and her ability to engage in interdisciplinary research. Her impeccable credentials are precisely what this massive a...'],1,0
"[""This study examines the syntactical differences between grammaticalized complements and general complements in Mandarin Chinese. Focusing on four directional complements-shang 上 (up), xia 下 (down), qi 起 (rise), and chu 出 (out)-we investigate the grammaticalization of these directional complements in light of image schemata (Talmy 1988, 2000) and aims to review Heine, Claudi & Hunnemeyer's (1991) proposal of grammatical structure. The result shows that the grammaticalization of directional complements can be written as space movement ⇒ space → non-specific space → time → status, which is generally in accordance with the grammatical structure proposed by Heine, Claudi & Hunnemeyer (1991). However, the additional step of space → non-specific space can be observed in the directional complements of modern Chinese.""]",1,0
"[""IN THE SPRING OF 1954, Vol. I, NO.1 of Names in South Carolina, the first state onomastic journal in the United States, was published by the English Department of the University of South Carolina. The appearance of this unique periodical was due chiefly to the efforts of Dr. Francis W. Bradley, then Dean of the University's faculty, the late Dr. Havilah Babcock, Head of the University's English Department, and Associate Professor Claude Henry Neuffer, who has served as editor during the 13years of its publication. During its first year a second volume (Vol. I, No.2) was issued and these volumes carried the notation, Published Sporadically. However, since this initial year the maga.zinehas appeared annually. The early issues wer9&mall,beginning with fivepages for tne mimeographed Vol. I, No. 1 and increasing to 65 pages for the off-set printed Vol. XI, Winter, 1964. The number of subscribers also followed a similar pattern: beginning with 100 in 1954 for Vol. I, No.1 and reaching 600 in 1964 (Vol. XI). The journal was still an off-set produced publication sent out free of charge by the University of South Carolina as a public service. During these early years of its apprenticeship a great deal of encouragement and commendation was received from the American Name Society and the International Center of Onomastics and individually from Elsdon Smith, Margaret Bryant, the late Mamie Meredith, Kelsie Harder, and Professor H. J. Van de Wijer of the International Center of Onomastics. In November, 1965, with the publication of Vol. XII, Names in South Oarolina became a standardly printed journal with a subscription rate of $1.50 for in-state and $2.00 for out-of-state sub-""]",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['Review article on Grammar of Mandarin . John Benjamins. Amsterdam/Philadelphia, 2015, written by Jeroen Wiedenhof.']",1,0
['Editorial Note'],1,0
"['Review of Yanez-Bouza, Nuria. Grammar, Rhetoric and Usage in English: Preposition Placement 1500-1900, Cambridge University Press, 2015.']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['Preview this article: Response to Traugott, Page 1 of 1 < Previous page | Next page > /docserver/preview/fulltext/cf.8.1.08ber-1.gif']",1,0
"['With this Report (here the n° 2) we present recent bibliographical information and, occasionally, renewed discussion about a series of etymological problems of Sanskrit, particularly Vedic, lexicon. Our principal aim is to supplement the E t y mo l ogisches Worterbuch des Altindoarischen by M. Mayrhofer (last N a c htrage und Verbesserungen 1999-2000). So with our Report we would like to provide a tool similar, even though more modest in its proposals, to the Chroniques d’etymologie grecque and l a tine published in the “Revue de Philologie, de Litterature et d’Histoire Anciennes” – whose points of refer- ence were at the starting, in their turn, the etymological dictionaries respectively by Chantraine et Ernout-Meillet. In close connexion with etymology we will also con- sider problems related to the interpretation of Vedic texts and the reconstruction of cultural r e a l i a . The present number includes lexems from a p a to a y a s - , along with a supplement to n° 1. R. Ronzitti is the author of the entries a cc hā , a d r i- , a p a dh ā , a p ū pa- , a p r ā y u- , a psaras- , a psujit- , a bhva- , a mbhas- 2, a mbh r ṇa- 2 (entirely); a p a salavi , a pāl ā - , a pikak ṣ a- , a ptur- , ap nas- , a bhipitva- , a bhra- , a ma t r a- , a mnas (partially, with D. Maggi); ambar´ī ṣ a- , A Y 2\xa0(partially, with M. Salvatori); M. Salvatori of the entry a p a t ya - (entirely); ambar´ī ṣ a- , A Y 2 (partially, with R. Ronzitti); D. Maggi of the entries as mentioned before and of the remaining ones.']",1,0
"['Article Klaus Zimmermann/Birte Kellermeier-Rehbein (eds.): Colonialism and missionary linguistics was published on December 1, 2016 in the journal Revista Internacional de Lingüística Iberoamericana (volume 14, issue 28).']",1,0
['Short communications'],1,0
