abstract,pred,true
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
['An abstract is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.'],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
['本研究测试Yuan在1998 提出关于以中文为第二语言的英语母语人士对monomorphemic自己（ziji）和polymorphemic他自己（taziji）以参数重设理论来解读。这些第二语言学习者对于polymorphemic他自己（taziji）在语言中出现的位置和中文母语人士对中文的使用相似。尽管如此，从第二语言学习者得到的研究结果也指出；monomorphemic自己（ziji）可以出现在中文语法中的子句内和子句外。然而初学和中级学习者对于monomorphemic自己（ziji）的使用却仅限于子句内。这种不对称的表现存在于语言习得的早期，但却会随着学习阶段增长而消失。Yuan所提出的全转移/全存取（Full Transfer / Ful Access）假设有可能应用在参数重设上。尽管如此，从第二语言学习者接近母语人士的表现，参数重设可能实际上是一种将第二语言重新调整以适应第一语言；monomorphemic 自己（ziji）可能被误析为英文中的代名词。在成人第二语言习得过程中未能被解读的语句特质将变得不能被学会的可能性应被排除；特别是在Hawkins and Hattori （2006）和Tsimpli and Dimitrakopoulou（2007）。'],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
