abstract,pred,true
['An abstract is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.'],1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
['Dr. I. M. Nick enjoys a well-deserved reputation for her meticulous scholarship and her ability to engage in interdisciplinary research. Her impeccable credentials are precisely what this massive a...'],1,0
"[""This study examines the syntactical differences between grammaticalized complements and general complements in Mandarin Chinese. Focusing on four directional complements-shang 上 (up), xia 下 (down), qi 起 (rise), and chu 出 (out)-we investigate the grammaticalization of these directional complements in light of image schemata (Talmy 1988, 2000) and aims to review Heine, Claudi & Hunnemeyer's (1991) proposal of grammatical structure. The result shows that the grammaticalization of directional complements can be written as space movement ⇒ space → non-specific space → time → status, which is generally in accordance with the grammatical structure proposed by Heine, Claudi & Hunnemeyer (1991). However, the additional step of space → non-specific space can be observed in the directional complements of modern Chinese.""]",1,0
"['THE ROOT STRUCTURE OF THE rìša TYPE VERBS SummaryThe verbs of Lith. rìša, Latv. risu „to tie” type are East Baltic innovation. They are formed by unifying the vowel i in apophonical roots (C)eiC/(C)CiC or (C)CeC/CC (Bal\xadtic CiC), e.g. Pr. perrēist: senrists. The roots of historical type (C)CeiC must have been formed from primary basic roots by adding one or two enlargements: Cei/Ci + С or CeC/CC + ei/i + C. The roots of these two historical types (with the root vowel e or ei) are mixed and can be distinguished only etymologically.']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['There exist systematic sound correspondences in Japanese loan words whose English origins contain a tense or lax vowel followed by a voiceless stop. For English words of the structure (C 1 )V 1 C 2 ({C 3 /v 2 }), the length of Japanese loan word vowels and consonants corresponding to V 1 (tense or lax) and C 2 (voiceless stop) is predicted by the quality of V 1 and any following elements. To test the hypothesis that these correspondences follow from perceptual assimilation, 18 native speakers of Japanese were presented with nonsense words uttered by two native speakers of American English, where C 1 = /g/, V 1 =/ i , i, u , u/, C 2 = /p, t, k/, C 3 = /s, t/ and v 2 = /ə/. The subjects chose which of four katakana representations sounded closest to each stimulus: S(hort)V + S(ingle)C, SV + G(eminate)C, L(ong)V + SC or LV + GC. The response patterns for CVC and CVC/s/ tokens were consistent with the experimental hypothesis in so far as they matched loan word correspondences and correlated with certain durational properties of the stimuli. However, the responses to CVC/t/ and CVCv tokens did not match the existing systematic correspondences, implicating factors other than perceptual assimilation.']",1,0
"['Review article on Grammar of Mandarin . John Benjamins. Amsterdam/Philadelphia, 2015, written by Jeroen Wiedenhof.']",1,0
['Editorial Note'],1,0
"['Review of Yanez-Bouza, Nuria. Grammar, Rhetoric and Usage in English: Preposition Placement 1500-1900, Cambridge University Press, 2015.']",1,0
