abstract,pred,true
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
"['Hittite grammar has been of great interest to comparative linguistics ever since it was deciphered by Bedřich Hrozný in 1915 and published in 1917 as Die Sprache der Hethiter (SH). Here we find the first description of the Hittite nominal system. In this article, I focus on the spatial cases as described by Hrozný and as they are understood today. In Part 1, I present the background of Hrozný’s research. In part 2, spatial cases and their internal structure are outlined. In Part 3, I discuss the Hittite spatial cases as described in SH and as understood by contemporary researchers, with a focus on the basis for possible misunderstandings. Part 4 provides an overview of later research regarding the nominal system, and especially the spatial cases. The conclusion summarizes the comparison of Die Sprache der Hethiter and contemporary research.']",1,0
[''],1,0
[''],1,0
[''],1,0
"[""RUSSIAN ONOMASTICS is a field in which there is much opportunity for scholarly research. Given names, in particular, still need much investigation. Only about a dozen scholars in Russia and the Soviet Union have concerned themselves with the problem of personal names, and even less research has been done abroad. In recent years, some research has been done in the Soviet Union mainly on what the Soviet researchers call new This term is generally meant to include those names which became popular in Russia only after the Revolution of 1917 and which are not found in the Russian Orthodox Church Calendar of Saints. Only one book has been written entirely on the subject of Soviet names. This one, Novye imena1 (New Names), by D. Delert, published in Rostov in 1924, is out of print today and not available even in Moscow's Lenin Library. Among the other Soviet scholars who have dealt with the problem of names, A. V. Superanskaja and L. V. Uspenskij are the best known. Both have written articles and books on various aspects of Russian onomastics, and each has at least one chapter concerned with Soviet names. One other Soviet work contains a chapter on the new This is Russkie imena (Russian Names) by A. A. Ugrjumov, published in Vologda in 1962. This book, however, was written on a popular rather than a scholarly level, and it contains errors resulting from the strong influence of Soviet attitudes upon the author. In addition, some Soviet names appear in various dictionaries, ineluding the Russian-Ukrainian dictionary of names published by S. F. Levcenko in 1961, and the Russian-White Russian dictionary of names published by M. R. Sudnik in 1965.""]",1,0
[''],1,0
[''],1,0
['An abstract is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.'],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
"[""Ressenya sobre el llibre d'Enric Balaguer, Maria Jesús Francés &amp; Vicent Vidal (eds.), Aproximació a l’altre. An approach to the other. Biografies, semblances i retrats. Biographies, resemblances and portraits , Amsterdam/Filadèlfia, John Benjamins Publishing Company, 2015, 162 pp., ISBN: 978-90-272-4017-0.""]",1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
[''],1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
[''],1,0
[''],1,0
