abstract,pred,true
['An abstract is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.'],1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
['Dr. I. M. Nick enjoys a well-deserved reputation for her meticulous scholarship and her ability to engage in interdisciplinary research. Her impeccable credentials are precisely what this massive a...'],1,0
['Towards target-like language use: Russian and Finnish learners’ dynamics of written Estonian on A2- and B1-level'],1,0
"['Chickasaw is a Muskogean language spoken in south-central Oklahoma. Published descriptions of Chickasaw phonetics include Munro &amp; Willmond (1994), Munro (to appear), and Gordon et al. (2000). The following description is a summary of the principal phonetic aspects of Chickasaw drawn primarily from these works.']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['Spanish is one of the most spoken languages in the world. Its proliferation comes with variations in written and spoken communication among different regions. Understanding language variations can help improve model performances on regional tasks, such as those involving figurative language and local context information. This manuscript presents and describes a set of regionalized resources for the Spanish language built on 4-year Twitter public messages geotagged in 26 Spanish-speaking countries. We introduce word embeddings based on FastText, language models based on BERT, and per-region sample corpora. We also provide a broad comparison among regions covering lexical and semantical similarities and examples of using regional resources on message classification tasks.']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
"['Abstract As a phenomenon arising from the interaction of semantics and lexico-grammar, Grammatical Metaphor (GM) occurs in the expression of both ideational and interpersonal meanings. Ideational GM is mainly deployed in written texts, while interpersonal GM is frequently observed in spoken discourses. Previous studies on the phenomenon focus their discussion on ideational GM and the use of GM in English. This study is the first attempt to explore the use of interpersonal GM in spoken Chinese. The study develops a framework for the identification and categorization of interpersonal GM in the language. On the basis of the framework, a large corpus of spontaneous conversation is analyzed to reveal how different types of interpersonal GM are distributed. The analysis shows that spoken Chinese has a preference for certain types of metaphorical expression. This study also investigates the relationship between interpersonal GM in spoken Chinese and its immediate context of situation, demonstrating how the deployment of interpersonal GM is affected by the topic of conversation and the social status between speaker and hearer.']",1,0
"['Review article on Grammar of Mandarin . John Benjamins. Amsterdam/Philadelphia, 2015, written by Jeroen Wiedenhof.']",1,0
"['This article is focused on the Latin verb uerto and its different constructions and semantical senses. The conclusion obtained shows that uerto, depending essentially on the semantic function of its complements, presents four basic predicative frames, expressing four basic different senses.']",1,0
"['The article is an in-depth review of Petar Kehayov’s monograph The Fate of Mood and Modality in Language Death: Evidence from Minor Finnic (De Gruyter Mouton, 2017). The book investigates the devel...']",1,0
"['We’ve built this digital research platform to provide academics everywhere with fast, stable and secure digital access to our library of over 110,000 scholarly books and 800,000 journal articles. We’ve tested the platform in close cooperation with leading academic institutions. If you have any questions or you notice something doesn’t quite work as it should, please visit our <a href=""/publishing/faq?lang=en"" class=""text-primary"">Help/FAQ</a> page and let us know.']",1,0
